Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
sct_405795006_y,erker_v15ib,,text,5.1.1 Jahr Krankheitsbeginn [JJJJ],,,integer,1800,2100,,[sct_424850005] = 'sct_424850005',,,,,,"Variable:
SCT: 405795006 | Time of symptom onset (observable entity) | : 410671006 | Date (attribute) | = 258707000 | year (qualifier value) |
"
sct_405795006_m,erker_v15ib,,text,5.1.2 Monat Krankheitsbeginn [MM],,,integer,1,12,,[sct_424850005] = 'sct_424850005',,,,,,"Variable:
SCT: 405795006 | Time of symptom onset (observable entity) | : 410671006 | Date (attribute) | = 258706009 | month (qualifier value) |"
sct_405795006_d,erker_v15ib,,text,5.1.3 Tag Krankheitsbeginn [DD],,,integer,1,31,,[sct_424850005] = 'sct_424850005',,,,,,"Variable:
SCT: 405795006 | Time of symptom onset (observable entity) | : 410671006 | Date (attribute) | =258703001 | day (qualifier value) |"
sct_423493009,erker_v15ib,,dropdown,5.2 Alter bei Diagnose,"sct_118189007, Pränatal | sct_3950001, Bei Geburt | sct_410672004, Datum | sct_261665006, unbestimmt","Alter, bei dem die Diagnose gestellt wurde",,,,,,,,,,,"Variable:
SCT: 423493009 | Age at diagnosis (observable entity) |
Choices:
SCT: 118189007 | Prenatal finding (finding) | 
SCT: 3950001 | Birth (finding) |
SCT: 410672004 | Date property (qualifier value) | 
SCT: 261665006 | Unknown (qualifier value)"
sct_432213005_y,erker_v15ib,,text,5.2.1 Jahr Diagnose  [JJJJ],,,integer,1800,2100,,[sct_423493009] = 'sct_424850005',,,,,,"Variable:
SCT: 432213005 | Date of diagnosis (observable entity) | : 410671006 | Date (attribute) | = 258707000 | year (qualifier value) |
"
sct_432213005_m,erker_v15ib,,text,5.2.2 Monat Diagnose [MM],,,integer,1,12,,[sct_423493009] = 'sct_424850005',,,,,,"Variable:
SCT: 432213005 | Date of diagnosis (observable entity) | : 410671006 | Date (attribute) | = 258706009 | month (qualifier value) |"
sct_432213005_d,erker_v15ib,,text,5.2.3 Tag Diagnose [DD],,,integer,1,31,,[sct_423493009] = 'sct_424850005',,,,,,"Variable:
SCT: 432213005 | Date of diagnosis (observable entity) | : 410671006 | Date (attribute) | =258703001 | day (qualifier value) |"
sct_717800004,erker_v15ib,,dropdown,5.3 Antenatale Malformation(en)? ,"sct_373066001, Ja | sct_373067005, Nein | sct_261665006, Unbekannt | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 717800004 | Antenatal screening for malformation (procedure) |
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 261665006 | Unknown (qualifier value) | 
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_412726003,erker_v15ib,,text,5.4 Gestationsalter / Schwangerschaftsdauer (post menstruationem),,"Schwangerschaftswochen + abgeschlossene Tage (0-6) der laufenden Schwangerschaftswoche angeben, z.B.: 34+4",,,,,,,,,,,"Variable:
SCT: 412726003 | Length of gestation at birth (observable entity) |"
sct_64245008,erker_v15ib,,dropdown,5.5 Indexfall (Propositus/Proposita)?,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst","Erste:r, in der betreffenden Familie erfasste:r Patient:in?",,,,,,,,,,,"Variable:
SCT: 64245008 | Propositus (finding) |
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_125679009_proposit,erker_v15ib,,dropdown,5.6 Verwandschaftsverhältnis des:der Patient:in mit dem Indexfall / Propositus/-a,"sct_65656005, (natürliche) Mutter | sct_9947008, (natürlicher) Vater | sct_83420006, (natürliche) Tochter | sct_113160008, (natürlicher) Sohn | sct_60614009, (natürlicher) Bruder | sct_73678001, (natürliche) Schwester | sct_11286003, Zwilling | sct_45929001, Halbbruder | sct_2272004, Halbschwester | sct_62296006, (natürlicher) Großvater | sct_17945006, (natürliche) Großmutter | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 125679009 | Blood relative (person) | : 704320005 | Towards (attribute) | = 64245008 | Propositus (finding) |
Choices:
SCT: 65656005 | Natural mother (person) | 
SCT: 9947008 | Natural father (person) |
SCT: 83420006 | Natural daughter (person) |
SCT: 113160008 | Natural son (person) |
SCT: 60614009 | Natural brother (person) |
SCT: 73678001 | Natural sister (person) |
SCT: 11286003 | Twin sibling (person) |
SCT: 45929001 | Half-brother (person) |
SCT: 2272004 | Half-sister (person) |
SCT: 62296006 | Natural grandfather (person) | 
SCT: 17945006 | Natural grandmother (person) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_842009,erker_v15ib,,dropdown,5.7 Konsanguinität ,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst",Liegt eine bekannte Konsanguinität (genetische Verwandtschaft) jeglicher Art (alle Verwandschaftsgrade) zwischen den Eltern vor? ,,,,,,,,,,,"Variable:
SCT: 842009 | Consanguinity (finding) |
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_439401001_orpha,erker_v15ib,6.1 Primärdiagnose,text,6.1.1 (Primär-)Diagnose der seltenen Krankheit [Orpha-Code],BIOPORTAL:ORDO,Diagnose des Fachzentrums,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |"
sct_439401001_orpha_sub,erker_v15ib,,text,6.1.2 (Primär-)Diagnose der seltenen Krankheit (Subtyp) [Orpha-Code],BIOPORTAL:ORDO,,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, { 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |, 260837004 |Subtype (attribute) | = 900000000000444006 | Definition status (core metadata concept) |"
sct_439401001_icd10gm,erker_v15ib,,text,6.1.3 (Primär-)Diagnose der seltenen Krankheit [ICD-10-GM-Code],,"Bitte nur ICD-10 Code angeben, z.B.: ""E66.8""",,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |"
sct_439401001_alphaid,erker_v15ib,,dropdown,6.1.4 (Primär-)Diagnose der seltenen Krankheit [Alpha ID],"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |
For (qualifier value)
SCTID: 86495002
Medical coding (qualifier value)
SCTID: 1251554004
Type (attribute)
SCTID: 410657003
(64572001 | Disease (disorder) | : 246061005 | Attribute (attribute) | = 89292003 | Rare (qualifier value) | 
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_439401001_alphaidstr,erker_v15ib,,text,6.1.4A (Primär-)Diagnose der seltenen Krankheit [Alpha ID],,,,,,,[sct_439401001_alphaid] = 'sct_373066001',,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |
For (qualifier value)
SCTID: 86495002
Medical coding (qualifier value)
SCTID: 1251554004
Type (attribute)
SCTID: 410657003
(64572001 | Disease (disorder) | : 246061005 | Attribute (attribute) | = 89292003 | Rare (qualifier value) | "
sct_439401001_bodysite,erker_v15ib,,text,6.1.5 (Primär-)Diagnose - Körperstelle [SNOMED CT],BIOPORTAL:SNOMEDCT,alternativ im SNOMED CT Browser https://browser.ihtsdotools.org/? suchen,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 246267002 | Location (attribute) | = 442083009 | Anatomical or acquired body structure (body structure) |"
sct_432213005,erker_v15ib,,text,6.1.6 (Primär-)Diagnose - Feststellungsdatum,,,date_ymd,,,,,,,,,,"Variable:
SCT: 432213005 | Date of diagnosis (observable entity) |"
sct_263493007,erker_v15ib,,dropdown,6.1.7 (Primär-)Diagnose - Klinischer Status,"hl7_conditionclinical_active, Aktiv: Der Betroffene leidet gegenwärtig unter den Symptomen der Erkrankung oder es gibt Anzeichen für die Erkrankung. | hl7_conditionclinical_recurrence, Wiederauftreten: Beim Probanden tritt ein Wiederauftreten oder eine Wiederholung einer zuvor behobenen Erkrankung auf, z. B. Harnwegsinfektion, Pankreatitis, Cholangitis, Bindehautentzündung. | hl7_conditionclinical_relapse, Rückfall: Der Betroffene erleidet ein Wiederauftreten einer Erkrankung oder von Anzeichen und Symptomen nach einer Phase der Besserung oder Remission, z. B. Rückfall von Krebs, Multipler Sklerose, rheumatoider Arthritis | hl7_conditionclinical_incative, Inaktiv: Der Betroffene leidet nicht mehr unter den Symptomen der Erkrankung oder es gibt keine Anzeichen mehr für die Erkrankung. | hl7_conditionclinical_remission, Remission: Der Betroffene leidet nicht mehr unter den Symptomen der Erkrankung, aber es besteht die Gefahr, dass die Symptome zurückkehren. | hl7_conditionclinical_resolved, Behoben: Der Betroffene leidet nicht mehr unter den Symptomen der Erkrankung, und es besteht ein vernachlässigbares Risiko, dass die Symptome zurückkehren. | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 
263493007 | Clinical status (attribute) | = 405672008 | Direct questioning (procedure) |
Choices:        
from: https://terminology.hl7.org/5.2.0/CodeSystem-condition-clinical.html 
hl7_conditionclinical_active | The subject is currently experiencing the condition or situation, there is evidence of the condition or situation, or considered to be a significant risk. |
hl7_conditionclinical_recurrence | The subject is experiencing a reoccurence or repeating of a previously resolved condition or situation, e.g. urinary tract infection, food insecurity. |
hl7_conditionclinical_relapse | The subject is experiencing a return of a condition or situation after a period of improvement or remission, e.g. relapse of cancer, alcoholism. |
hl7_conditionclinical_inactive | The subject is no longer experiencing the condition or situation and there is no longer evidence or appreciable risk of the condition or situation. |
hl7_conditionclinical_remission | The subject is not presently experiencing the condition or situation, but there is a risk of the condition or situation returning. |
hl7_conditionclinical_resolved | The subject is not presently experiencing the condition or situation and there is a negligible perceived risk of the condition or situation returning. |
hl7_conditionclinical_unknown | The authoring/source system does not know which of the status values currently applies for this condition. Note: This concept is not to be used for ""other"" - one of the listed statuses is presumed to apply, but the authoring/source system does not know which
SCT: 1220561009 | Not recorded (qualifier value) |
"
sct_116694002,erker_v15ib,,dropdown,6.1.8 (Primär-)Diagnose - Schweregrad,"sct_24484000, Schwerwiegend | sct_6736007, Moderat | sct_255604002, Milde | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 
116694002 | Condition severity (attribute) | = 405672008 | Direct questioning (procedure) |
Choices:
SCT: 24484000 | Severe (severity modifier) (qualifier value) | 
SCT: 6736007 | Moderate (severity modifier) (qualifier value) | 
SCT: 255604002, | Mild (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_246454002,erker_v15ib,,dropdown,6.1.9 Sporadisches oder familiäres Auftreten?,"sct_75741005, sporadisch | sct_255401001, familiär | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 
246454002 | Occurrence (attribute) | = 405672008 | Direct questioning (procedure) |
Choices:
SCT: 75741005 | Sporadic (qualifier value) | 
SCT: 255401001 | Familial (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_439401001_ver,erker_v15ib,,dropdown,6.1.10 Verifizierungsstatus der (Primär-)Diagnose,"hl7_conditionverstatus_unconfirmed, unbestätigt | hl7_conditionverstatus_provisional, vorläufig |  hl7_conditionverstatus_differential, Eine von mehreren möglichen (und sich in der Regel gegenseitig ausschließenden) Diagnosen, die als Leitfaden für den Diagnoseprozess und die vorläufige Behandlung herangezogen werden. | hl7_conditionverstatus_confirmed, bestätigt |  hl7_conditionverstatus_refuted, Diese Diagnose wurde durch diagnostische und klinische Beweise ausgeschlossen.| hl7_conditionverstatus_entered-in-error, Die Angabe wurde falsch eingegeben und ist ungültig | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
so far incorrect: SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |
Choices:
from: http://terminology.hl7.org/CodeSystem/condition-ver-status 
hl7_conditionverstatus_unconfirmed | There is not sufficient evidence to assert the presence of the subject's condition. |
hl7_conditionverstatus_provisional | This is a tentative diagnosis - still a candidate that is under consideration. |
hl7_conditionverstatus_differential | One of a set of potential (and typically mutually exclusive) diagnoses asserted to further guide the diagnostic process and preliminary treatment. |
hl7_conditionverstatus_confirmed | There is sufficient evidence to assert the presence of the subject's condition. |
hl7_conditionverstatus_refuted | This condition has been ruled out by subsequent diagnostic and clinical evidence. |
hl7_conditionverstatus_entered-in-error | The statement was entered in error and is not valid. |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_103330002,erker_v15ib,,dropdown,6.1.11 Nicht diagnostizierter Fall,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable: 
SCT: 103330002 | No diagnosis (contextual qualifier) (qualifier value) |
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_41769001_orpha,erker_v15ib,,text,6.1.11A Verdachtsdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,,,,,,,"Variable:
SCT: 41769001 | Disease suspected (situation) | : 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |"
sct_41769001_icd10gm,erker_v15ib,,text,6.1.11B Verdachtsdiagnose [ICD-10-GM],,"Bitte nur ICD-10 Code angeben, z.B.: ""E66.8""",,,,,,,,,,,"Variable:
SCT: 41769001 | Disease suspected (situation) | : 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |"
